fold,y_test,y_pred
3,0.0,0.14729522
3,1.0,0.77175844
3,0.0,0.22026344
3,0.0,0.044130966
3,1.0,0.7499227
3,1.0,0.23027882
3,0.0,0.07178438
3,0.0,0.1301322
3,1.0,0.6528863
3,0.0,0.08535093
3,0.0,0.044381585
3,0.0,0.059679337
3,0.0,0.120220646
3,0.0,0.21969505
3,0.0,0.64350927
3,0.0,0.23479278
3,0.0,0.19522876
3,0.0,0.08279518
3,0.0,0.13719364
3,0.0,0.12476756
3,1.0,0.2791963
3,0.0,0.18073592
3,0.0,0.38335466
3,0.0,0.06633502
3,0.0,0.06955949
3,0.0,0.4021594
3,0.0,0.22452198
3,1.0,0.6953784
3,1.0,0.4314691
3,1.0,0.61726135
3,1.0,0.70178175
3,0.0,0.18927607
3,1.0,0.6184375
3,0.0,0.42105222
3,0.0,0.1421033
3,0.0,0.13507532
3,0.0,0.034154132
3,0.0,0.05110167
3,0.0,0.14237857
3,0.0,0.0960796
3,0.0,0.14847457
3,1.0,0.40041822
3,0.0,0.065069996
3,0.0,0.08188059
3,1.0,0.62401235
3,1.0,0.16941814
3,0.0,0.1875394
3,0.0,0.2849053
3,1.0,0.8048131
3,0.0,0.5058581
3,0.0,0.039418552
3,0.0,0.028010402
3,0.0,0.45212638
3,0.0,0.4028003
3,0.0,0.09515898
3,0.0,0.41659093
3,0.0,0.56125134
3,0.0,0.1867597
3,0.0,0.10729924
3,0.0,0.034851633
3,1.0,0.272022
3,0.0,0.052541588
3,1.0,0.48771703
3,1.0,0.46659353
3,0.0,0.05507939
3,0.0,0.022787394
3,1.0,0.54859495
3,0.0,0.45642284
3,0.0,0.57137364
3,0.0,0.02223098
3,0.0,0.05958349
3,0.0,0.28145385
3,0.0,0.1825073
3,1.0,0.6291735
3,0.0,0.11865994
3,0.0,0.14054914
3,0.0,0.21015011
3,1.0,0.050481442
3,0.0,0.04836327
3,0.0,0.2041289
3,0.0,0.18735234
3,1.0,0.30534896
3,0.0,0.12382484
3,1.0,0.7001236
3,0.0,0.09914394
3,1.0,0.38497272
3,0.0,0.27110964
3,1.0,0.81718594
3,0.0,0.28004715
3,1.0,0.23955587
3,1.0,0.3959696
3,0.0,0.16765796
3,0.0,0.37889248
3,0.0,0.039660037
3,0.0,0.08709852
3,0.0,0.04707221
3,0.0,0.07114123
3,1.0,0.103118636
3,0.0,0.05852624
3,1.0,0.66840076
3,0.0,0.062238008
3,1.0,0.77481383
3,1.0,0.31047842
3,0.0,0.32585946
3,0.0,0.044831015
3,0.0,0.0717225
3,0.0,0.11822148
3,0.0,0.022375569
3,1.0,0.35716546
3,0.0,0.101717025
3,1.0,0.32405508
3,0.0,0.6195766
3,0.0,0.25299498
3,0.0,0.55001867
3,1.0,0.725065
3,0.0,0.07874126
3,0.0,0.046205644
3,0.0,0.107188344
3,0.0,0.13377891
3,0.0,0.12870991
3,1.0,0.05624376
3,1.0,0.48804176
3,0.0,0.69496953
3,1.0,0.32235384
3,0.0,0.17174627
3,0.0,0.045233823
3,1.0,0.6470776
3,1.0,0.2982195
3,0.0,0.123318374
3,0.0,0.06045401
3,0.0,0.04865105
3,0.0,0.050817724
3,1.0,0.29314706
3,0.0,0.07613475
3,0.0,0.44045153
3,1.0,0.17087613
3,0.0,0.041728348
3,0.0,0.08329167
3,0.0,0.047936775
3,0.0,0.16456999
3,0.0,0.51411945
3,1.0,0.085752204
3,0.0,0.258434
3,0.0,0.077711016
3,0.0,0.5846481
3,0.0,0.600828
3,1.0,0.69865745
3,0.0,0.38721097
3,0.0,0.114383966
3,1.0,0.42278996
3,0.0,0.16852471
3,0.0,0.037483416
3,0.0,0.07854512
3,0.0,0.15218617
3,0.0,0.08116999
3,0.0,0.49347365
3,1.0,0.5098385
3,0.0,0.74644667
3,0.0,0.5903606
3,0.0,0.059636272
3,0.0,0.11054189
3,0.0,0.042293917
3,0.0,0.15647507
3,0.0,0.20887326
3,0.0,0.026460841
3,0.0,0.17587408
3,0.0,0.17335819
3,0.0,0.13488542
3,0.0,0.043662857
3,0.0,0.12920867
3,1.0,0.68887943
3,0.0,0.10106947
3,0.0,0.13178751
3,0.0,0.14524388
3,1.0,0.7021288
3,0.0,0.66669965
3,0.0,0.33342284
3,1.0,0.06966918
3,0.0,0.5942512
3,1.0,0.42864734
3,0.0,0.12917908
3,0.0,0.15368159
3,0.0,0.048355617
3,0.0,0.6251968
3,0.0,0.032087307
3,0.0,0.2859997
3,0.0,0.04641275
3,0.0,0.05957703
3,1.0,0.16094118
3,0.0,0.6403649
3,1.0,0.07920097
3,0.0,0.031367432
3,0.0,0.13920031
3,0.0,0.27576092
