fold,y_test,y_pred
3,0.0,0.19394901
3,0.0,0.105275184
3,0.0,0.04659153
3,0.0,0.01376352
3,0.0,0.07133895
3,0.0,0.02787551
3,0.0,0.014769135
3,0.0,0.04709468
3,1.0,0.561602
3,0.0,0.023843924
3,0.0,0.16589351
3,0.0,0.011433997
3,0.0,0.27131054
3,0.0,0.026984958
3,0.0,0.06259794
3,0.0,0.0015699929
3,0.0,0.044434883
3,1.0,0.16054893
3,0.0,0.04752513
3,0.0,0.013844684
3,0.0,0.17153355
3,0.0,0.07408213
3,0.0,0.10581699
3,0.0,0.0051470753
3,0.0,0.031737443
3,0.0,0.024492444
3,0.0,0.022282336
3,0.0,0.043667357
3,0.0,0.20016412
3,0.0,0.020022867
3,0.0,0.104723334
3,0.0,0.00568674
3,0.0,0.022836767
3,1.0,0.35618365
3,1.0,0.059150696
3,0.0,0.01828152
3,0.0,0.007675272
3,0.0,0.11371685
3,0.0,0.0008801674
3,0.0,0.30895752
3,0.0,0.008397128
3,0.0,0.3662023
3,0.0,0.0024287133
3,0.0,0.004204188
3,0.0,0.0012199995
3,0.0,0.036782872
3,0.0,0.03402279
3,0.0,0.024198972
3,0.0,0.12095979
3,1.0,0.037836865
3,0.0,0.034684356
3,0.0,0.010426979
3,0.0,0.009956963
3,1.0,0.0041503212
3,0.0,0.009786043
3,0.0,0.0050813677
3,0.0,0.46764424
3,0.0,0.024275182
3,1.0,0.049406327
3,1.0,0.08546956
3,0.0,0.035883326
3,0.0,0.43775737
3,0.0,0.08336688
3,0.0,0.08808207
3,0.0,0.090822704
3,0.0,0.004026148
3,0.0,0.026080087
3,0.0,0.016081372
3,0.0,0.0052669346
3,0.0,0.035968844
3,0.0,0.040744267
3,0.0,0.0058461824
3,1.0,0.018861694
3,0.0,0.012022843
3,0.0,0.009872055
3,0.0,0.05711043
3,0.0,0.1546877
3,0.0,0.002476815
3,0.0,0.074658014
3,0.0,0.0029904707
3,0.0,0.014798786
3,0.0,0.0059575634
3,0.0,0.31978807
3,0.0,0.025148645
3,0.0,0.040825296
3,0.0,0.05375278
3,0.0,0.25971028
3,0.0,0.2598885
3,0.0,0.0047369646
3,0.0,0.003913011
3,0.0,0.18999662
3,1.0,0.591413
3,0.0,0.5486985
3,0.0,0.020270415
3,0.0,0.008187332
3,0.0,0.020067437
3,0.0,0.0049062227
3,1.0,0.3176773
3,0.0,0.0019381904
3,0.0,0.05667051
3,0.0,0.009883666
3,0.0,0.002744552
3,0.0,0.09289338
3,0.0,0.004298394
3,0.0,0.067434244
3,0.0,0.0017401277
3,0.0,0.01703048
3,0.0,0.24449837
3,0.0,0.03982517
3,1.0,0.28147903
3,0.0,0.14988098
3,0.0,0.5668665
3,0.0,0.009339755
3,1.0,0.3899427
3,0.0,0.01383474
3,0.0,0.0068803458
3,1.0,0.54730386
3,0.0,0.005802823
3,1.0,0.006685614
3,0.0,0.05618837
3,0.0,0.027087195
3,0.0,0.1476711
3,0.0,0.004130654
3,0.0,0.08100355
3,0.0,0.0026323462
3,0.0,0.0019126858
3,0.0,0.0013573148
3,0.0,0.06695433
3,0.0,0.026105205
3,0.0,0.2501696
3,0.0,0.03715026
3,0.0,0.08826559
3,0.0,0.11984334
3,0.0,0.04015535
3,0.0,0.016131956
3,1.0,0.14995879
3,0.0,0.21979661
3,0.0,0.25411323
3,0.0,0.08211864
3,1.0,0.068851024
3,0.0,0.008514261
3,0.0,0.106612496
3,0.0,0.19746672
3,0.0,0.01256531
3,1.0,0.074780785
3,0.0,0.07244556
3,0.0,0.008207586
3,0.0,0.0056094057
3,0.0,0.009439726
3,0.0,0.0016168678
3,0.0,0.017802997
3,1.0,0.24449837
3,0.0,0.010366087
3,0.0,0.016667299
3,0.0,0.17845932
3,0.0,0.024092693
3,0.0,0.0055522462
3,0.0,0.018878628
3,0.0,0.47887984
3,0.0,0.5240758
3,0.0,0.17359287
3,0.0,0.45949325
3,0.0,0.013152087
3,0.0,0.0063432753
3,1.0,0.024761302
3,0.0,0.015975485
3,0.0,0.004773992
3,0.0,0.00083245104
3,0.0,0.0022777682
3,0.0,0.02919327
3,0.0,0.053640958
3,1.0,0.46501458
3,0.0,0.025323296
3,0.0,0.0005318347
3,0.0,0.13724953
3,0.0,0.40850967
3,0.0,0.0073934235
3,0.0,0.0018451405
3,0.0,0.242796
3,0.0,0.010042949
3,0.0,0.018247992
3,0.0,0.032788888
3,0.0,0.0015922436
3,0.0,0.0011374148
3,0.0,0.056131072
3,0.0,0.0021820269
3,0.0,0.11824872
3,0.0,0.0062786136
3,0.0,0.017426401
3,0.0,0.67837524
3,0.0,0.005817579
3,0.0,0.107150756
3,0.0,0.00074603996
3,0.0,0.04099833
