y_test,y_pred
0.0,0.5344602
0.0,0.40790188
0.0,0.24423788
0.0,0.45281944
0.0,0.3042095
0.0,0.3847669
0.0,0.38452822
0.0,0.4120667
0.0,0.4001285
0.0,0.4750618
0.0,0.48734692
0.0,0.37283432
0.0,0.31279343
0.0,0.2692567
0.0,0.4968566
1.0,0.6145915
0.0,0.5750923
0.0,0.35673508
0.0,0.39019668
1.0,0.5040144
0.0,0.23963891
0.0,0.29843366
0.0,0.46297282
0.0,0.37088478
0.0,0.4154306
0.0,0.5326651
0.0,0.4033305
0.0,0.27714214
1.0,0.49150476
0.0,0.4784621
0.0,0.5649933
0.0,0.4445508
0.0,0.45218003
0.0,0.4316793
0.0,0.6271838
0.0,0.42605177
1.0,0.61271316
0.0,0.5203526
0.0,0.48910496
0.0,0.26589102
0.0,0.5431952
0.0,0.4649982
0.0,0.33983368
0.0,0.3707934
0.0,0.43775934
1.0,0.6550073
0.0,0.23003477
0.0,0.551809
0.0,0.33909333
0.0,0.2623848
0.0,0.3133642
0.0,0.33467406
0.0,0.34527805
0.0,0.31727356
0.0,0.36140203
0.0,0.29654738
0.0,0.31837794
0.0,0.6377015
1.0,0.38051608
0.0,0.3363502
0.0,0.34402114
0.0,0.38496011
0.0,0.5442073
0.0,0.56735736
1.0,0.64559567
0.0,0.45571893
0.0,0.49412757
0.0,0.41242364
0.0,0.46028027
1.0,0.44473308
0.0,0.28384432
0.0,0.398972
0.0,0.45291525
1.0,0.5520037
0.0,0.48368433
0.0,0.3119583
0.0,0.32752138
0.0,0.7035278
0.0,0.25416413
0.0,0.5112089
0.0,0.5184689
0.0,0.57914025
0.0,0.44510382
0.0,0.5879589
0.0,0.49214154
0.0,0.57994086
0.0,0.45660806
0.0,0.37935358
1.0,0.5369994
0.0,0.28204703
0.0,0.45813116
0.0,0.41874474
0.0,0.34823644
0.0,0.5910128
0.0,0.38502672
1.0,0.568365
0.0,0.41976917
0.0,0.403423
0.0,0.27183485
1.0,0.39893225
0.0,0.2589227
0.0,0.67113405
0.0,0.3689572
0.0,0.5989724
0.0,0.36879832
0.0,0.45083973
0.0,0.45270547
1.0,0.5923463
0.0,0.24991271
0.0,0.45617682
0.0,0.30273607
0.0,0.25839302
0.0,0.48713127
0.0,0.46941492
0.0,0.5342463
0.0,0.43110916
0.0,0.2876562
0.0,0.5285159
0.0,0.23815505
0.0,0.32237244
0.0,0.2724113
0.0,0.22667395
0.0,0.37762505
0.0,0.53363705
0.0,0.45473745
0.0,0.5743748
0.0,0.4102858
0.0,0.44618165
0.0,0.40749845
0.0,0.33182055
0.0,0.56494343
0.0,0.5845604
0.0,0.2248811
0.0,0.33903268
0.0,0.4467457
0.0,0.31773067
0.0,0.36743912
0.0,0.44532204
0.0,0.334721
0.0,0.40734205
0.0,0.4405096
0.0,0.28258833
0.0,0.27197212
0.0,0.22347672
0.0,0.4119686
0.0,0.4192677
0.0,0.49520066
1.0,0.5897363
0.0,0.28303692
0.0,0.48529965
0.0,0.30943966
0.0,0.6189586
0.0,0.22508682
0.0,0.58391005
0.0,0.48877296
0.0,0.36618626
0.0,0.2932918
0.0,0.5223014
0.0,0.27906835
0.0,0.2701874
0.0,0.2104476
0.0,0.31892353
0.0,0.4040834
0.0,0.4443886
0.0,0.29473934
0.0,0.33384937
0.0,0.24646112
1.0,0.66020405
0.0,0.32892597
0.0,0.5003005
0.0,0.47603354
0.0,0.29543892
0.0,0.6121922
0.0,0.3612829
0.0,0.45449314
0.0,0.29050797
0.0,0.42586187
0.0,0.37493607
0.0,0.2747666
0.0,0.38352725
0.0,0.4594959
0.0,0.44235322
0.0,0.58788174
0.0,0.2421917
0.0,0.26068893
0.0,0.36752272
0.0,0.33556828
0.0,0.37596285
0.0,0.47255418
0.0,0.23339476
0.0,0.4716133
0.0,0.2922744
0.0,0.4855951
0.0,0.5036337
0.0,0.4614077
